condition,trial_num,top_stim,top_cat,right_stim,right_cat,middle_stim,middle_cat,left_stim,left_cat
3,0,VCS_80,a,VCS_340,d,VCS_180,b,VCS_260,c
3,1,VCS_80,a,VCS_350,d,VCS_170,b,VCS_260,c
3,2,VCS_80,a,VCS_160,b,VCS_360,d,VCS_260,c
3,3,VCS_340,d,VCS_80,a,VCS_240,c,VCS_160,b
3,4,VCS_340,d,VCS_250,c,VCS_70,a,VCS_160,b
3,5,VCS_340,d,VCS_260,c,VCS_60,a,VCS_160,b
3,6,VCS_180,b,VCS_90,a,VCS_270,c,VCS_360,d
3,7,VCS_350,d,VCS_80,a,VCS_260,c,VCS_170,b
3,8,VCS_350,d,VCS_90,a,VCS_250,c,VCS_170,b
3,9,VCS_350,d,VCS_70,a,VCS_270,c,VCS_170,b
3,10,VCS_90,a,VCS_180,b,VCS_360,d,VCS_270,c
3,11,VCS_150,b,VCS_240,c,VCS_60,a,VCS_330,d
3,12,VCS_240,c,VCS_150,b,VCS_330,d,VCS_60,a
3,13,VCS_330,d,VCS_240,c,VCS_60,a,VCS_150,b
3,14,VCS_250,c,VCS_340,d,VCS_160,b,VCS_70,a
3,15,VCS_250,c,VCS_350,d,VCS_150,b,VCS_70,a
3,16,VCS_250,c,VCS_330,d,VCS_170,b,VCS_70,a
3,17,VCS_260,c,VCS_340,d,VCS_180,b,VCS_80,a
3,18,VCS_260,c,VCS_350,d,VCS_170,b,VCS_80,a
3,19,VCS_260,c,VCS_360,d,VCS_160,b,VCS_80,a
3,20,VCS_270,c,VCS_180,b,VCS_360,d,VCS_90,a
3,21,VCS_160,b,VCS_80,a,VCS_240,c,VCS_340,d
3,22,VCS_160,b,VCS_60,a,VCS_260,c,VCS_340,d
3,23,VCS_160,b,VCS_70,a,VCS_250,c,VCS_340,d
3,24,VCS_60,a,VCS_150,b,VCS_330,d,VCS_240,c
3,25,VCS_360,d,VCS_90,a,VCS_270,c,VCS_180,b
3,26,VCS_70,a,VCS_340,d,VCS_160,b,VCS_250,c
3,27,VCS_70,a,VCS_350,d,VCS_150,b,VCS_250,c
3,28,VCS_70,a,VCS_330,d,VCS_170,b,VCS_250,c
3,29,VCS_170,b,VCS_80,a,VCS_260,c,VCS_350,d
3,30,VCS_170,b,VCS_90,a,VCS_250,c,VCS_350,d
3,31,VCS_170,b,VCS_70,a,VCS_270,c,VCS_350,d
