condition,trial_num,top_stim,top_cat,right_stim,right_cat,middle_stim,middle_cat,left_stim,left_cat
4,11,VCS_150,b,VCS_240,c,VCS_60,a,VCS_330,d
4,21,VCS_160,b,VCS_80,a,VCS_240,c,VCS_340,d
4,22,VCS_160,b,VCS_60,a,VCS_260,c,VCS_340,d
4,23,VCS_160,b,VCS_70,a,VCS_250,c,VCS_340,d
4,29,VCS_170,b,VCS_80,a,VCS_260,c,VCS_350,d
4,30,VCS_170,b,VCS_90,a,VCS_250,c,VCS_350,d
4,31,VCS_170,b,VCS_70,a,VCS_270,c,VCS_350,d
4,6,VCS_180,b,VCS_90,a,VCS_270,c,VCS_360,d
4,12,VCS_240,c,VCS_150,b,VCS_330,d,VCS_60,a
4,14,VCS_250,c,VCS_340,d,VCS_160,b,VCS_70,a
4,15,VCS_250,c,VCS_350,d,VCS_150,b,VCS_70,a
4,16,VCS_250,c,VCS_330,d,VCS_170,b,VCS_70,a
4,17,VCS_260,c,VCS_340,d,VCS_180,b,VCS_80,a
4,18,VCS_260,c,VCS_350,d,VCS_170,b,VCS_80,a
4,19,VCS_260,c,VCS_360,d,VCS_160,b,VCS_80,a
4,20,VCS_270,c,VCS_360,d,VCS_180,b,VCS_90,a
4,13,VCS_330,d,VCS_240,c,VCS_60,a,VCS_150,b
4,3,VCS_340,d,VCS_80,a,VCS_240,c,VCS_160,b
4,4,VCS_340,d,VCS_60,a,VCS_260,c,VCS_160,b
4,5,VCS_340,d,VCS_70,a,VCS_250,c,VCS_160,b
4,7,VCS_350,d,VCS_80,a,VCS_260,c,VCS_170,b
4,8,VCS_350,d,VCS_90,a,VCS_250,c,VCS_170,b
4,9,VCS_350,d,VCS_70,a,VCS_270,c,VCS_170,b
4,25,VCS_360,d,VCS_90,a,VCS_270,c,VCS_180,b
4,24,VCS_60,a,VCS_150,b,VCS_330,d,VCS_240,c
4,26,VCS_70,a,VCS_340,d,VCS_160,b,VCS_250,c
4,27,VCS_70,a,VCS_350,d,VCS_150,b,VCS_250,c
4,28,VCS_70,a,VCS_330,d,VCS_170,b,VCS_250,c
4,0,VCS_80,a,VCS_340,d,VCS_180,b,VCS_260,c
4,1,VCS_80,a,VCS_350,d,VCS_170,b,VCS_260,c
4,2,VCS_80,a,VCS_360,d,VCS_160,b,VCS_260,c
4,10,VCS_90,a,VCS_180,b,VCS_360,d,VCS_270,c
