condition,trial_num,top_stim,top_cat,right_stim,right_cat,middle_stim,middle_cat,left_stim,left_cat
2,0,VCS_80,a,VCS_340,d,VCS_180,b,VCS_260,c
2,1,VCS_80,a,VCS_350,d,VCS_170,b,VCS_260,c
2,2,VCS_80,a,VCS_160,b,VCS_360,d,VCS_260,c
2,3,VCS_340,d,VCS_80,a,VCS_240,c,VCS_160,b
2,4,VCS_340,d,VCS_250,c,VCS_70,a,VCS_160,b
2,5,VCS_340,d,VCS_260,c,VCS_60,a,VCS_160,b
2,6,VCS_180,b,VCS_90,a,VCS_270,c,VCS_360,d
2,7,VCS_350,d,VCS_80,a,VCS_260,c,VCS_170,b
2,8,VCS_350,d,VCS_90,a,VCS_250,c,VCS_170,b
2,9,VCS_350,d,VCS_70,a,VCS_270,c,VCS_170,b
2,10,VCS_90,a,VCS_180,b,VCS_360,d,VCS_270,c
2,11,VCS_150,b,VCS_240,c,VCS_60,a,VCS_330,d
2,12,VCS_240,c,VCS_150,b,VCS_330,d,VCS_60,a
2,13,VCS_330,d,VCS_240,c,VCS_60,a,VCS_150,b
2,14,VCS_250,c,VCS_340,d,VCS_160,b,VCS_70,a
2,15,VCS_250,c,VCS_350,d,VCS_150,b,VCS_70,a
2,16,VCS_250,c,VCS_330,d,VCS_170,b,VCS_70,a
2,17,VCS_260,c,VCS_340,d,VCS_180,b,VCS_80,a
2,18,VCS_260,c,VCS_350,d,VCS_170,b,VCS_80,a
2,19,VCS_260,c,VCS_160,b,VCS_360,d,VCS_80,a
2,20,VCS_270,c,VCS_180,b,VCS_360,d,VCS_90,a
2,21,VCS_160,b,VCS_80,a,VCS_240,c,VCS_340,d
2,22,VCS_160,b,VCS_250,c,VCS_70,a,VCS_340,d
2,23,VCS_160,b,VCS_260,c,VCS_60,a,VCS_340,d
2,24,VCS_60,a,VCS_150,b,VCS_330,d,VCS_240,c
2,25,VCS_360,d,VCS_90,a,VCS_270,c,VCS_180,b
2,26,VCS_70,a,VCS_340,d,VCS_160,b,VCS_250,c
2,27,VCS_70,a,VCS_350,d,VCS_150,b,VCS_250,c
2,28,VCS_70,a,VCS_330,d,VCS_170,b,VCS_250,c
2,29,VCS_170,b,VCS_80,a,VCS_260,c,VCS_350,d
2,30,VCS_170,b,VCS_90,a,VCS_250,c,VCS_350,d
2,31,VCS_170,b,VCS_70,a,VCS_270,c,VCS_350,d
